SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.49078751299999995,89,0,0.189415042,9333.0,8,0,0,0,0.0
1,0.38014460299999997,50,0,1.355389929,5500.0,19,0,1,0,2.0
0,0.03149685,67,1,0.198593297,7250.0,7,0,2,0,0.0
0,0.35450582,52,0,6215.0,,8,0,1,0,0.0
0,0.006061436,71,0,0.001002406,4987.0,8,0,0,0,0.0
0,0.04699857599999999,52,0,0.008397225,5477.0,3,0,0,0,0.0
0,0.715559563,44,1,5.899057872999999,742.0,9,0,2,0,2.0
0,0.34840793700000006,46,0,0.138953682,3000.0,5,0,0,0,0.0
0,0.47505342899999997,46,2,0.570408455,3500.0,7,1,2,0,7.0
0,0.0,60,0,0.0,,2,0,0,0,0.0
0,0.04820413900000001,28,0,0.073985203,5000.0,10,0,0,0,0.0
0,0.522444325,48,0,0.526182965,9509.0,10,0,1,0,0.0
0,0.036120485,58,0,0.00119994,6666.0,2,0,0,0,1.0
0,0.111939574,49,0,0.189459414,5900.0,9,0,0,0,1.0
0,0.9534630070000001,53,0,0.619147817,1900.0,10,0,0,0,1.0
0,0.9999998999999999,55,1,0.10569415300000001,5250.0,0,1,0,1,0.0
0,0.199539692,41,1,0.534108585,13500.0,18,0,2,0,2.0
0,0.0,63,0,1021.0,,8,0,1,0,
1,0.0,33,1,0.20822622100000002,3500.0,5,0,0,0,4.0
0,0.984775176,48,3,0.611077784,5000.0,9,0,1,0,0.0
0,0.723318334,52,0,563.0,,8,0,0,1,0.0
0,0.0,32,0,0.5798157270000001,4666.0,7,0,1,0,1.0
0,0.024596287999999997,32,0,0.273968934,7467.0,7,0,1,0,0.0
0,0.00729141,55,0,0.466556565,4843.0,23,0,2,0,1.0
0,0.0,61,0,14.0,,3,0,0,0,
1,0.41034358600000004,59,1,0.19779044899999998,2805.0,6,0,0,0,0.0
0,0.031828305,62,0,0.376435045,3309.0,11,0,1,0,0.0
0,0.327345309,24,0,0.182156134,1882.0,3,0,0,0,0.0
0,0.008747266,21,0,0.0,0.0,2,0,0,0,0.0
0,0.9999998999999999,32,0,0.7125672679999999,3158.0,1,0,1,0,0.0
0,0.256749873,55,0,0.160041225,13583.0,7,0,1,0,0.0
0,0.0,43,0,1.5119976000000002,3333.0,10,0,1,0,3.0
0,0.618166526,46,0,0.109589041,4160.0,5,0,0,0,1.0
0,0.183702284,65,0,2345.0,,8,0,2,0,0.0
0,0.91008991,60,0,0.444770283,3068.0,8,0,0,0,0.0
0,0.012998886999999999,53,0,0.45028330200000005,9000.0,23,0,2,0,2.0
0,0.825833808,44,0,0.315040047,3370.0,3,0,1,0,0.0
0,0.0077452169999999996,44,0,0.495587424,7251.0,3,0,2,0,2.0
0,0.145804071,34,0,3404.0,,7,0,1,1,0.0
0,0.160715406,49,0,0.757103768,4750.0,24,0,1,0,0.0
0,0.0,71,0,0.12848394,8000.0,17,0,1,0,0.0
0,0.422858656,51,0,0.424873305,7300.0,23,0,1,0,1.0
0,0.158396273,36,0,11.27860697,200.0,6,0,2,0,0.0
0,0.00812774,71,0,0.0979565,18252.0,16,0,1,0,1.0
0,0.075892944,42,0,0.117385352,5843.0,6,0,0,0,1.0
0,0.0,68,0,0.002894356,4145.0,11,0,0,1,0.0
0,0.013536255,79,0,0.06792744099999999,2590.0,6,0,0,0,1.0
0,0.100631161,37,0,0.239434742,7500.0,4,0,1,0,1.0
0,0.026463001,34,0,1918.0,,9,0,1,0,1.0
0,0.008587744,63,0,0.558217038,4800.0,27,0,1,0,0.0
0,0.309496208,44,0,1.018874644,5615.0,12,0,2,0,2.0
0,0.0491004,51,0,0.038443056,2080.0,7,0,0,0,0.0
0,0.6839052090000001,32,0,0.077475789,3200.0,8,0,0,0,0.0
0,0.937876941,36,1,0.45705630799999997,11223.0,6,1,2,0,0.0
0,0.000634688,73,0,1874.0,,12,0,1,0,
0,0.002704417,59,0,36.0,,6,0,0,0,0.0
0,0.015427898999999998,73,0,0.011149558,2600.0,10,0,0,0,0.0
0,0.9677229620000001,34,0,0.23667061600000003,3375.0,5,0,0,0,0.0
0,0.45177231100000004,41,0,6004.0,,10,0,4,0,0.0
0,0.9999998999999999,34,0,0.008733624,2747.0,0,1,0,0,4.0
0,0.199400009,56,0,1.371019843,2166.0,10,0,2,0,0.0
0,0.9999998999999999,63,0,0.274212369,856.0,1,0,0,0,0.0
0,0.479878698,57,0,0.209684331,7000.0,4,0,1,0,0.0
0,0.046674742000000005,40,0,811.0,,4,0,1,0,
0,0.090370235,57,0,0.196189132,4250.0,18,0,1,0,1.0
0,0.031976001000000004,69,0,1.026923077,519.0,10,0,0,0,0.0
0,0.5919643929999999,68,0,5328.0,,11,0,1,0,0.0
0,0.39051717,42,0,0.453302101,13233.0,12,0,2,0,3.0
0,0.070846458,38,0,0.634360335,4900.0,6,0,1,0,2.0
0,0.9999998999999999,24,0,0.045112782000000004,1462.0,1,0,0,0,0.0
0,0.707292707,26,0,0.10515793699999999,2500.0,5,0,0,0,1.0
0,0.10524966300000001,67,0,2193.0,,6,0,2,0,1.0
0,0.12043775300000001,52,0,0.5300948329999999,5166.0,9,0,2,1,2.0
0,0.097301626,77,0,0.11191888300000001,5226.0,20,0,0,0,0.0
0,0.0,40,0,0.457966511,5792.0,4,0,2,0,1.0
0,0.419697538,56,2,0.48187953,4000.0,7,1,1,1,0.0
0,0.156092195,70,0,0.006413350999999999,14500.0,3,0,0,0,1.0
0,0.0,43,0,2792.0,,5,0,1,0,0.0
0,0.551964659,31,0,279.0,,6,0,0,0,
0,0.11325400099999999,63,0,0.274539877,3259.0,7,1,0,0,0.0
0,0.33518428699999997,48,0,0.524146813,9317.0,13,0,2,0,1.0
0,0.016994979,30,0,272.0,,3,0,0,0,
0,0.287258479,67,1,0.166666667,947.0,8,0,0,0,0.0
0,0.046049087999999995,70,0,3815.0,,12,0,2,0,0.0
0,0.0,78,0,0.0,8516.0,8,0,0,0,1.0
0,0.10905356699999999,63,0,0.41774222899999996,5500.0,7,0,4,0,0.0
0,0.316934153,51,0,0.19086089399999998,3960.0,6,0,0,0,1.0
0,0.039050048999999996,47,0,0.153675229,11250.0,8,0,1,0,3.0
0,0.045662772000000004,47,0,1.020766036,4333.0,33,0,2,0,0.0
0,0.30264649,58,0,0.207806133,4662.0,6,0,0,0,1.0
0,0.7846274240000001,23,1,0.455684455,2154.0,5,0,0,0,0.0
0,0.38076794399999997,50,0,0.25097585699999997,6916.0,10,0,1,0,0.0
0,0.5834486999999999,30,0,0.102105501,4416.0,7,0,0,0,0.0
0,0.069958183,64,0,103.0,,10,0,0,0,0.0
0,0.199505093,66,0,0.15435978,2545.0,5,0,0,0,0.0
0,0.19361863899999998,51,0,0.305855162,7787.0,10,0,1,0,1.0
0,0.9164334270000001,58,0,0.54302035,2800.0,3,0,1,0,0.0
0,0.382336874,70,1,0.927145964,15633.0,29,0,3,0,1.0
0,0.785214785,27,0,0.125074985,3333.0,5,0,0,0,0.0
0,0.026624067999999997,78,0,1418.0,,7,0,1,0,0.0
0,0.083613145,55,0,0.403886281,7667.0,20,0,1,0,1.0
0,0.28415539100000003,34,0,0.23123856,4916.0,9,0,0,0,0.0
1,0.9391462309999999,48,0,1374.0,,3,1,1,0,0.0
0,0.16934950899999998,37,0,0.344469191,6734.0,11,0,2,0,2.0
0,0.017710181999999998,80,0,55.0,,16,0,0,0,0.0
0,0.049475262,44,0,0.128603104,7666.0,10,0,0,0,0.0
0,0.049395865,83,0,0.097710416,3100.0,9,0,0,0,0.0
0,0.21269189300000002,56,0,1346.0,,14,0,1,0,1.0
0,0.379196701,49,2,1370.0,,11,0,1,0,2.0
0,0.094813059,72,0,0.232323232,9800.0,5,0,1,0,1.0
0,0.0,34,2,0.151744057,4500.0,4,0,0,0,2.0
0,0.043545296,62,0,1.3935212959999999,3333.0,13,0,3,0,0.0
0,0.222407393,61,0,0.22224536600000003,4800.0,7,0,1,0,0.0
0,0.18676569399999998,49,0,0.232828261,22900.0,13,0,1,0,1.0
0,0.421347077,46,0,0.297329335,14340.0,8,0,1,0,6.0
0,0.5300127020000001,38,0,0.374335342,2820.0,4,0,0,0,2.0
0,0.18846157600000002,74,0,0.781284174,6400.0,23,0,9,0,1.0
0,0.0163465,34,0,0.890713834,4748.0,13,0,2,0,0.0
0,0.5979252589999999,38,0,0.047650782999999995,3000.0,2,0,0,0,0.0
0,0.36952846100000003,38,0,0.433391652,4000.0,13,0,2,0,3.0
0,0.004234915,42,1,7004.0,,16,0,1,0,
0,0.021659569,60,0,1099.0,,10,0,1,0,2.0
1,0.270273021,47,0,0.7938596490000001,2735.0,15,0,2,0,3.0
0,0.003747538,43,0,2212.0,,14,0,1,0,3.0
1,0.946843854,33,0,0.20893035699999998,3000.0,2,1,0,0,0.0
0,0.428103981,54,1,0.041947273,43506.0,7,1,1,1,1.0
0,0.057034802999999995,47,0,843.0,,8,0,1,0,0.0
0,0.252233036,60,1,56.0,,1,0,0,0,0.0
0,0.395045863,54,0,4824.0,,15,0,2,0,0.0
0,0.062215232999999995,50,0,0.010649734,40000.0,10,0,0,0,1.0
0,0.139435375,70,0,0.8774028190000001,2340.0,6,0,1,0,0.0
0,0.0,63,0,0.0,,5,0,0,0,0.0
0,0.073661756,58,0,902.0,,5,0,1,0,0.0
0,0.255976716,56,0,0.501846154,16249.0,23,0,5,0,0.0
0,0.194819137,73,0,0.053510274000000004,2335.0,3,0,0,0,0.0
0,0.0007938169999999999,55,0,1966.0,,16,0,1,0,
0,0.09017672199999999,68,0,0.44287976,12000.0,8,0,4,0,1.0
0,0.330626226,41,0,0.267218623,8333.0,7,0,1,0,1.0
0,0.275482336,47,3,0.087330677,6274.0,6,0,0,0,3.0
0,0.0445764,61,0,37.5,1.0,4,0,0,0,0.0
0,0.463638891,45,0,0.44966362299999996,8323.0,12,0,0,0,2.0
1,0.047002588,59,0,0.452591235,6000.0,23,0,3,0,0.0
0,0.014532791000000001,57,0,0.008212749,2556.0,3,0,0,0,0.0
0,0.224129312,40,0,0.45187089399999997,3500.0,4,0,2,0,0.0
0,0.238331128,46,0,0.09890555300000001,7400.0,6,0,0,0,0.0
0,0.008599364,82,0,0.003085362,5833.0,9,0,0,0,0.0
0,0.22615392899999998,65,0,0.278647546,7600.0,11,0,2,0,1.0
0,0.064323724,49,0,33.0,,1,0,0,0,1.0
0,0.0,69,0,205.0,,10,0,1,0,0.0
0,0.011360158,81,0,79.0,,8,0,1,0,
0,0.029123896,37,0,0.206802228,30342.0,10,0,3,0,2.0
0,0.009855735,67,0,0.18061291,4600.0,7,0,0,0,0.0
0,0.922498668,56,0,4581.0,,24,0,1,0,0.0
0,0.9999998999999999,40,0,0.079966681,2400.0,1,0,0,0,0.0
0,0.194433761,56,0,0.228308677,2500.0,6,0,1,0,0.0
0,0.0,70,0,1039.0,,7,0,1,0,0.0
0,0.182162015,43,0,0.493110389,6458.0,17,0,1,0,2.0
0,0.0,70,0,0.160493827,9800.0,10,0,0,0,0.0
0,0.087238465,66,0,0.041156707,8333.0,11,0,0,0,0.0
0,0.50514609,36,0,310.0,,1,0,0,0,0.0
0,0.01879812,44,0,0.36023425200000003,7000.0,4,0,1,0,0.0
0,0.9999998999999999,79,0,0.0,2500.0,3,0,0,0,0.0
0,0.213830577,47,0,0.129811698,6000.0,16,0,0,0,0.0
0,0.5472979720000001,54,1,1691.0,,9,0,1,1,1.0
0,0.0,49,0,2678.0,,7,0,1,0,0.0
0,0.983929528,52,0,0.260496183,4191.0,4,0,0,0,1.0
0,0.519018463,46,0,0.20268247399999997,16700.0,14,0,2,0,0.0
0,0.050394852000000004,66,0,0.24199250100000003,9334.0,14,0,1,0,1.0
0,0.399366154,58,1,0.634545682,8000.0,11,0,1,0,1.0
0,0.083925247,45,0,52.0,,4,0,0,0,0.0
0,0.043515489000000004,45,1,0.43059721799999995,3666.0,6,0,1,0,2.0
0,0.419568765,39,0,0.45108751700000005,9700.0,7,0,1,0,2.0
0,0.578027466,82,0,0.44370197100000003,2992.0,5,0,1,0,0.0
1,0.974184165,55,1,0.5652077320000001,4500.0,7,0,2,0,0.0
0,0.12165225199999999,58,0,0.8067196529999999,5535.0,26,0,2,0,0.0
0,0.43092817899999997,35,0,0.244918361,3000.0,6,0,0,0,3.0
0,0.5065587970000001,49,0,0.33574340399999997,13000.0,16,0,2,0,4.0
1,0.378282844,68,2,0.592924891,7801.0,18,0,4,0,0.0
1,0.97729006,53,0,0.423527789,7250.0,5,0,2,0,4.0
0,0.9999998999999999,26,0,0.077614923,3001.0,1,0,0,0,0.0
0,0.029316957,44,0,0.18110906300000001,7050.0,12,0,2,0,0.0
0,0.09627784,43,0,1.3511297740000001,5000.0,13,0,2,0,0.0
0,0.473821855,60,0,2095.0,,10,0,1,0,0.0
0,0.02124696,46,0,0.19163263100000003,9058.0,8,0,1,0,2.0
0,0.071986911,31,0,0.221945137,400.0,7,0,0,0,0.0
0,0.09834597099999999,56,0,0.510753905,4416.0,10,0,1,0,0.0
0,0.896020925,72,0,0.409994321,7043.0,7,0,1,0,0.0
0,0.271972803,55,0,0.30667083300000003,6400.0,11,0,2,0,0.0
0,0.35417371799999997,70,0,344.0,,4,0,0,0,0.0
0,0.9999998999999999,63,0,0.054527429,3025.0,2,0,0,0,0.0
0,0.641905342,70,0,0.922031188,2500.0,11,0,0,0,0.0
0,0.021138302,78,0,0.176583493,2083.0,11,0,0,0,0.0
0,0.052080724,42,0,0.012879788999999999,9083.0,18,0,0,0,0.0
0,0.072027615,70,0,0.558229066,4155.0,18,0,1,0,0.0
0,0.328604472,49,0,0.320057582,2083.0,6,0,0,0,0.0
0,0.280460218,57,0,1.4417199719999998,5627.0,14,0,2,0,1.0
0,0.490930125,63,0,0.42752334399999997,4497.0,13,0,1,0,0.0
0,0.003413663,56,0,0.46760863799999997,3750.0,17,0,2,0,0.0
0,0.995002499,34,3,0.29406953,2444.0,4,0,0,0,1.0
0,0.904108991,51,1,3195.0,,12,0,1,0,0.0
0,0.9650527190000001,56,2,0.347889374,15800.0,17,0,1,1,1.0
0,0.14713217,27,0,0.368948247,2994.0,4,0,1,0,1.0
0,0.39055776700000006,62,0,0.180959013,10051.0,4,0,1,0,2.0
0,0.053271112999999995,84,0,51.0,,5,0,0,0,0.0
0,0.410472283,58,0,0.291259852,8500.0,12,0,2,0,0.0
0,0.25714857,65,0,843.0,,2,0,0,0,0.0
0,0.074355797,36,0,149.4230769,25.0,8,0,2,0,0.0
0,0.0,54,0,0.135067678,10416.0,7,0,2,0,0.0
0,0.224825652,56,0,1609.0,,7,0,2,0,0.0
0,0.9999998999999999,54,1,0.06612733,19900.0,8,0,1,0,0.0
0,0.001768065,75,0,0.083230169,10500.0,10,1,0,0,0.0
1,0.9680213190000001,59,0,0.660649819,3600.0,6,0,1,1,1.0
0,0.73273707,48,1,0.505828271,6090.0,8,0,3,0,0.0
0,0.9999998999999999,63,1,0.0,3372.0,0,0,0,0,0.0
0,0.037146772,53,0,0.196439725,3201.0,4,0,1,0,1.0
0,0.501444428,60,0,0.489978779,4240.0,11,0,0,0,0.0
1,0.815673731,50,2,29.61288531,3600.0,16,0,0,0,0.0
0,0.062927238,43,0,1422.0,,15,0,1,0,0.0
0,0.0,64,0,2761.0,,9,0,1,0,
0,0.297299148,47,0,0.37933174700000005,9666.0,11,0,1,0,0.0
0,0.12925557699999998,34,0,2289.0,,12,0,2,0,0.0
0,0.14925917800000002,53,0,0.458821026,4698.0,5,0,2,0,1.0
0,0.062689745,50,0,3530.0,0.0,4,0,1,0,0.0
0,0.275356998,48,0,5694.0,,9,0,4,0,0.0
0,0.9999998999999999,32,0,0.273001241,5640.0,7,0,1,0,2.0
0,0.30618942600000004,60,1,311.0,,7,0,1,0,0.0
0,0.18879528,49,0,0.6709511570000001,3500.0,5,0,1,0,0.0
0,0.026297616,80,0,0.112754898,2500.0,14,0,1,0,0.0
0,0.252407449,70,0,0.561422661,17403.0,25,0,12,0,0.0
0,0.662234474,35,0,0.52065246,3800.0,10,0,2,0,1.0
0,0.079929875,28,0,207.0,,4,0,0,0,0.0
0,0.9999998999999999,31,0,0.465905034,2800.0,3,0,2,0,2.0
0,0.180963807,36,0,0.510998,5500.0,6,0,2,0,0.0
0,0.9999998999999999,58,1,0.052792320999999996,4583.0,4,0,0,1,0.0
0,0.014073087,72,0,0.00999524,2100.0,4,0,0,0,0.0
0,0.855095409,31,0,1.009569378,3970.0,8,0,1,0,2.0
0,0.0018225510000000002,72,0,0.000545355,5500.0,8,0,0,0,1.0
1,0.906749556,56,4,0.078011953,3178.0,10,1,0,2,0.0
0,0.00286209,78,0,0.20429086800000001,5266.0,8,0,1,0,0.0
0,0.9278130440000001,69,0,1.554189085,1300.0,6,0,2,0,0.0
1,0.923605516,28,1,2419.0,,11,0,1,0,0.0
0,0.144321392,57,0,2514.0,,9,0,1,0,1.0
0,0.754211388,37,0,0.541230681,10416.0,10,0,1,0,4.0
0,0.13509285099999999,56,0,0.67431694,1829.0,4,0,1,0,0.0
0,0.666563579,61,0,0.197509209,5700.0,14,0,0,0,1.0
0,0.008169215,58,0,0.49513745299999995,13058.0,9,0,2,0,0.0
0,0.10107491,44,0,0.21995687100000003,5100.0,5,0,1,0,1.0
0,0.008161027,72,0,7.0,,3,0,0,0,0.0
0,0.9999998999999999,39,0,0.001817631,3300.0,1,0,0,0,3.0
0,0.0,51,0,1.330505907,3300.0,8,0,4,0,1.0
0,0.333865592,46,0,0.464230449,8400.0,15,0,5,0,1.0
0,0.0,50,0,740.0,,3,0,1,0,0.0
